id,can_id,can_nam,spe_id,spe_nam,ele_typ,state,district,office,can_party,exp_amount,exp_date,agg_amount,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
,S6MO00305,"McCaskill, Claire",C00489625, ,G,MO,0,S,Dem,1578.00,2012-10-23T00:00:00Z,"$7,347.00 ",Oppose,Radio ad buy,Bott Radio Network,823808,N,SE.8491,12940378354,10/23/12, 
2, ,"Akin, Todd",C00405761,Missouri Farm Bureau Federation Statewide Farm  Pac,G,MO,0,S,Rep,292.48,2012-10-23T00:00:00Z,"$20,258.98 ",Support,Telspan Conference Calls,Missouri Farm Bureau Federation,825108,N,SE.4518,12961001398,10/24/12, 
3,S2MO00429,"Akin, Todd",C90004185,Naral Pro-choice America,G,MO,0,S,Rep,2200.75,2012-10-23T00:00:00Z,"$24,613.94 ",Oppose,List rental,NARAL Pro-Choice Foundation,824452,N,VN7C25Q232,12960689425,10/23/12, 
4, ,"McCaskill, Claire",C90005471,Planned Parenthood Action Fund Inc.,G,MO,0,S,Dem,3947.60,2012-10-23T00:00:00Z,"$160,390.74 ",Support,Staff time for voter contact activities,Planned Parenthood Federation of America,824140,N,57442485,12940380007,10/23/12, 
5,S2MO00429,"Akin, Todd",C90011156,Working America,G,MO,0,S,Rep,53.22,2012-10-23T00:00:00Z,"$83,612.30 ",Oppose,Salary and Benefits,"Simmons, Thomas",825014,N,VN7CZ5RXM1,12960999584,10/24/12, 
6,S2MO00429,"Akin, Todd",C90011156,Working America,G,MO,0,S,Rep,71.87,2012-10-23T00:00:00Z,"$83,612.30 ",Oppose,Salary and Benefits,"Beverly, Carl",825014,N,VN7CZ5RXY0,12960999178,10/24/12, 
7,S2MO00429,"Akin, Todd",C90011156,Working America,G,MO,0,S,Rep,71.87,2012-10-23T00:00:00Z,"$83,612.30 ",Oppose,Salary and Benefits,"Williams, Lamandres",825014,N,VN7CZ5RWS7,12960999642,10/24/12, 
8,S2MO00429,"Akin, Todd",C90011156,Working America,G,MO,0,S,Rep,71.87,2012-10-23T00:00:00Z,"$83,612.30 ",Oppose,Salary and Benefits,"Williams, Lisha",825014,N,VN7CZ5RX86,12960999643,10/24/12, 
9,S6MO00305,"McCaskill, Claire",C90011156,Working America,G,MO,0,S,Dem,16.91,2012-10-23T00:00:00Z,"$83,612.30 ",Support,Gas,Grand BP,825014,N,VN7CZ5S2T7,12960999354,10/24/12, 
10,S6MO00305,"McCaskill, Claire",C90011156,Working America,G,MO,0,S,Dem,20.00,2012-10-23T00:00:00Z,"$83,612.30 ",Support,Rent,GST Properties,825014,N,VN7CZ5S2Q3,12960999360,10/24/12, 
